                     date locationtest  value abbreviation location  population
location_name                                                                  
Michigan       2020-01-24           26      0           MI       26   9986857.0
Michigan       2020-01-25           26      0           MI       26   9986857.0
Michigan       2020-01-26           26      0           MI       26   9986857.0
Michigan       2020-01-27           26      0           MI       26   9986857.0
Michigan       2020-01-28           26      0           MI       26   9986857.0
...                   ...          ...    ...          ...      ...         ...
Michigan       2021-01-07           26   4249           MI       26   9986857.0
Michigan       2021-01-08           26   3908           MI       26   9986857.0
Michigan       2021-01-09           26   2898           MI       26   9986857.0
Michigan       2021-01-10           26      0           MI       26   9986857.0
Michigan       2021-01-11           26   5129           MI       26   9986857.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[63]      0.03      0.00      0.03      0.03      0.04    159.82      1.00
    beta_1[64]      0.03      0.00      0.03      0.03      0.04    163.14      1.00
    beta_1[65]      0.03      0.00      0.03      0.03      0.04    167.22      1.00
    beta_1[66]      0.04      0.00      0.04      0.03      0.04    178.39      1.00
    beta_1[67]      0.04      0.00      0.04      0.03      0.04    190.40      1.00
    beta_1[68]      0.04      0.00      0.04      0.03      0.04    209.23      1.00
    beta_1[69]      0.04      0.00      0.04      0.03      0.04    228.11      1.00
    beta_1[70]      0.04      0.00      0.04      0.03      0.04    240.15      1.00
    beta_1[71]      0.04      0.00      0.04      0.03      0.04    269.01      1.00
    beta_1[72]      0.04      0.00      0.04      0.03      0.04    308.50      1.00
    beta_1[73]      0.04      0.00      0.04      0.03      0.04    331.65      1.00
    beta_1[74]      0.04      0.00      0.04      0.04      0.04    361.71      1.00
    beta_1[75]      0.04      0.00      0.04      0.04      0.04    407.65      1.00
    beta_1[76]      0.04      0.00      0.04      0.04      0.04    476.70      1.00
    beta_1[77]      0.04      0.00      0.04      0.04      0.04    502.09      1.00
    beta_1[78]      0.04      0.00      0.04      0.03      0.04    539.62      1.00
    beta_1[79]      0.04      0.00      0.04      0.03      0.04    566.46      1.00
    beta_1[80]      0.04      0.00      0.04      0.03      0.04    665.19      1.00
    beta_1[81]      0.04      0.00      0.04      0.03      0.04    772.23      1.00
    beta_1[82]      0.04      0.00      0.04      0.03      0.04    894.39      1.00
    beta_1[83]      0.03      0.00      0.03      0.03      0.04    970.39      1.00
    beta_1[84]      0.03      0.00      0.03      0.03      0.04    985.31      1.00
    beta_1[85]      0.03      0.00      0.03      0.03      0.04    937.74      1.00
    beta_1[86]      0.03      0.00      0.03      0.03      0.03   1129.37      1.00
    beta_1[87]      0.03      0.00      0.03      0.03      0.03   1050.21      1.00
    beta_1[88]      0.03      0.00      0.03      0.03      0.03    959.57      1.00
    beta_1[89]      0.03      0.00      0.03      0.03      0.03   1032.81      1.00
    beta_1[90]      0.03      0.00      0.03      0.03      0.03   1052.49      1.00
    beta_1[91]      0.03      0.00      0.03      0.02      0.03   1296.14      1.00
    beta_1[92]      0.03      0.00      0.03      0.02      0.03   1125.63      1.00
    beta_1[93]      0.02      0.00      0.02      0.02      0.03   1490.10      1.00
    beta_1[94]      0.02      0.00      0.02      0.02      0.03   1494.76      1.00
    beta_1[95]      0.02      0.00      0.02      0.02      0.02   1584.89      1.00
    beta_1[96]      0.02      0.00      0.02      0.02      0.02   1561.06      1.00
    beta_1[97]      0.02      0.00      0.02      0.02      0.02   1673.59      1.00
    beta_1[98]      0.02      0.00      0.02      0.02      0.02   1732.85      1.00
    beta_1[99]      0.02      0.00      0.02      0.02      0.02   1804.24      1.00
   beta_1[100]      0.02      0.00      0.02      0.01      0.02   1908.73      1.00
   beta_1[101]      0.02      0.00      0.01      0.01      0.02   1850.07      1.00
   beta_1[102]      0.01      0.00      0.01      0.01      0.02   1765.69      1.00
   beta_1[103]      0.01      0.00      0.01      0.01      0.02   1576.43      1.00
   beta_1[104]      0.01      0.00      0.01      0.01      0.02   1662.86      1.00
   beta_1[105]      0.01      0.00      0.01      0.01      0.01   1802.18      1.00
   beta_1[106]      0.01      0.00      0.01      0.01      0.01   1967.97      1.00
   beta_1[107]      0.01      0.00      0.01      0.01      0.01   1970.32      1.00
   beta_1[108]      0.01      0.00      0.01      0.01      0.01   2045.95      1.00
   beta_1[109]      0.01      0.00      0.01      0.01      0.01   2004.23      1.00
   beta_1[110]      0.01      0.00      0.01      0.01      0.01   2210.12      1.00
   beta_1[111]      0.01      0.00      0.01      0.01      0.01   2021.78      1.00
   beta_1[112]      0.01      0.00      0.01      0.01      0.01   2078.52      1.00
   beta_1[113]      0.01      0.00      0.01      0.01      0.01   1940.26      1.00
   beta_1[114]      0.01      0.00      0.01      0.01      0.01   2020.82      1.00
   beta_1[115]      0.01      0.00      0.01      0.01      0.01   2140.55      1.00
   beta_1[116]      0.01      0.00      0.01      0.01      0.01   2176.76      1.00
   beta_1[117]      0.01      0.00      0.01      0.00      0.01   2243.69      1.00
   beta_1[118]      0.01      0.00      0.01      0.00      0.01   2068.16      1.00
   beta_1[119]      0.01      0.00      0.01      0.00      0.01   1935.12      1.00
   beta_1[120]      0.01      0.00      0.01      0.00      0.01   1957.12      1.00
   beta_1[121]      0.01      0.00      0.01      0.00      0.01   2030.87      1.00
   beta_1[122]      0.00      0.00      0.00      0.00      0.01   2190.84      1.00
   beta_1[123]      0.01      0.00      0.01      0.00      0.01   2238.44      1.00
   beta_1[124]      0.01      0.00      0.01      0.00      0.01   2013.71      1.00
   beta_1[125]      0.01      0.00      0.01      0.00      0.01   2227.02      1.00
   beta_1[126]      0.00      0.00      0.00      0.00      0.01   2591.78      1.00
   beta_1[127]      0.00      0.00      0.00      0.00      0.01   2612.13      1.00
   beta_1[128]      0.00      0.00      0.00      0.00      0.01   2598.27      1.00
   beta_1[129]      0.00      0.00      0.00      0.00      0.01   2223.20      1.00
   beta_1[130]      0.00      0.00      0.00      0.00      0.01   2554.10      1.00
   beta_1[131]      0.00      0.00      0.00      0.00      0.01   2312.38      1.00
   beta_1[132]      0.00      0.00      0.00      0.00      0.01   2533.43      1.00
   beta_1[133]      0.00      0.00      0.00      0.00      0.01   2561.07      1.00
   beta_1[134]      0.00      0.00      0.00      0.00      0.00   2193.78      1.00
   beta_1[135]      0.00      0.00      0.00      0.00      0.00   2488.19      1.00
   beta_1[136]      0.00      0.00      0.00      0.00      0.00   2243.66      1.00
   beta_1[137]      0.00      0.00      0.00     -0.00      0.00   2392.36      1.00
   beta_1[138]      0.00      0.00      0.00     -0.00      0.00   2230.47      1.00
   beta_1[139]      0.00      0.00      0.00     -0.00      0.00   2133.03      1.00
   beta_1[140]      0.00      0.00      0.00     -0.00      0.00   2275.81      1.00
   beta_1[141]      0.00      0.00      0.00     -0.00      0.00   2367.76      1.00
   beta_1[142]      0.00      0.00      0.00     -0.00      0.00   2193.42      1.00
   beta_1[143]      0.00      0.00      0.00     -0.00      0.00   2199.78      1.00
   beta_1[144]      0.00      0.00      0.00     -0.00      0.00   2170.42      1.00
   beta_1[145]      0.00      0.00      0.00     -0.00      0.00   2359.08      1.00
   beta_1[146]      0.00      0.00      0.00     -0.00      0.00   2571.97      1.00
   beta_1[147]      0.00      0.00      0.00     -0.00      0.00   2594.50      1.00
   beta_1[148]      0.00      0.00      0.00     -0.00      0.00   2532.31      1.00
   beta_1[149]      0.00      0.00      0.00     -0.00      0.00   2383.13      1.00
   beta_1[150]      0.00      0.00      0.00     -0.00      0.00   2340.30      1.00
   beta_1[151]      0.00      0.00      0.00     -0.00      0.00   2535.45      1.00
   beta_1[152]      0.00      0.00      0.00     -0.00      0.00   2274.46      1.00
   beta_1[153]      0.00      0.00      0.00     -0.00      0.00   2543.59      1.00
   beta_1[154]      0.00      0.00      0.00     -0.00      0.00   2048.05      1.00
   beta_1[155]      0.00      0.00      0.00     -0.00      0.00   2122.39      1.00
   beta_1[156]      0.00      0.00      0.00     -0.00      0.00   2344.29      1.00
   beta_1[157]      0.00      0.00      0.00     -0.00      0.00   2183.65      1.00
   beta_1[158]      0.00      0.00      0.00     -0.00      0.00   2276.49      1.00
   beta_1[159]      0.00      0.00      0.00     -0.00      0.00   2095.59      1.00
   beta_1[160]      0.00      0.00      0.00     -0.00      0.00   2266.32      1.00
   beta_1[161]      0.00      0.00      0.00     -0.00      0.00   2495.07      1.00
   beta_1[162]      0.00      0.00      0.00     -0.00      0.00   2435.59      1.00
   beta_1[163]      0.00      0.00      0.00     -0.00      0.00   2236.85      1.00
   beta_1[164]      0.00      0.00      0.00     -0.00      0.00   2376.19      1.00
   beta_1[165]      0.00      0.00      0.00     -0.00      0.00   2530.69      1.00
   beta_1[166]      0.00      0.00      0.00     -0.00      0.00   2470.03      1.00
   beta_1[167]      0.00      0.00      0.00     -0.00      0.00   2511.32      1.00
   beta_1[168]      0.00      0.00      0.00     -0.00      0.00   2670.95      1.00
   beta_1[169]      0.00      0.00      0.00     -0.00      0.00   2303.66      1.00
   beta_1[170]      0.00      0.00      0.00     -0.00      0.00   2453.33      1.00
   beta_1[171]      0.00      0.00      0.00     -0.00      0.00   2635.10      1.00
   beta_1[172]      0.00      0.00      0.00     -0.00      0.00   2447.49      1.00
   beta_1[173]      0.00      0.00      0.00     -0.00      0.00   2734.66      1.00
   beta_1[174]      0.00      0.00      0.00     -0.00      0.00   2534.49      1.00
   beta_1[175]      0.00      0.00      0.00     -0.00      0.00   2479.43      1.00
   beta_1[176]      0.00      0.00      0.00     -0.00      0.00   2578.98      1.00
   beta_1[177]      0.00      0.00      0.00     -0.00      0.00   2748.96      1.00
