                     date locationtest  value abbreviation location  population
location_name                                                                  
Puerto Rico    2020-01-24           72      0           PR       72   3754939.0
Puerto Rico    2020-01-25           72      0           PR       72   3754939.0
Puerto Rico    2020-01-26           72      0           PR       72   3754939.0
Puerto Rico    2020-01-27           72      0           PR       72   3754939.0
Puerto Rico    2020-01-28           72      0           PR       72   3754939.0
...                   ...          ...    ...          ...      ...         ...
Puerto Rico    2021-01-07           72    286           PR       72   3754939.0
Puerto Rico    2021-01-08           72   2169           PR       72   3754939.0
Puerto Rico    2021-01-09           72    563           PR       72   3754939.0
Puerto Rico    2021-01-10           72    489           PR       72   3754939.0
Puerto Rico    2021-01-11           72    349           PR       72   3754939.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[62]      0.03      0.00      0.03      0.02      0.04    138.88      1.01
    beta_1[63]      0.03      0.00      0.03      0.02      0.04    137.47      1.01
    beta_1[64]      0.03      0.00      0.03      0.03      0.04    142.50      1.01
    beta_1[65]      0.03      0.00      0.03      0.03      0.04    140.77      1.01
    beta_1[66]      0.03      0.00      0.03      0.03      0.04    141.99      1.01
    beta_1[67]      0.04      0.00      0.04      0.03      0.04    143.84      1.01
    beta_1[68]      0.04      0.00      0.04      0.03      0.04    144.91      1.01
    beta_1[69]      0.04      0.00      0.04      0.03      0.04    139.63      1.01
    beta_1[70]      0.04      0.00      0.04      0.03      0.04    144.04      1.01
    beta_1[71]      0.04      0.00      0.04      0.03      0.04    142.45      1.01
    beta_1[72]      0.04      0.00      0.04      0.03      0.05    145.11      1.01
    beta_1[73]      0.04      0.00      0.04      0.03      0.05    154.61      1.01
    beta_1[74]      0.04      0.00      0.04      0.03      0.05    152.68      1.01
    beta_1[75]      0.04      0.00      0.04      0.03      0.05    151.17      1.01
    beta_1[76]      0.04      0.00      0.04      0.03      0.05    151.24      1.01
    beta_1[77]      0.04      0.00      0.04      0.03      0.05    165.13      1.01
    beta_1[78]      0.04      0.00      0.04      0.03      0.05    179.28      1.00
    beta_1[79]      0.04      0.00      0.04      0.03      0.05    182.99      1.00
    beta_1[80]      0.04      0.00      0.04      0.03      0.05    176.25      1.00
    beta_1[81]      0.04      0.00      0.04      0.03      0.05    182.31      1.00
    beta_1[82]      0.04      0.00      0.04      0.03      0.05    185.79      1.00
