                            date locationtest  ...  location population
location_name                                  ...                     
District of Columbia  2020-01-24           11  ...        11   705749.0
District of Columbia  2020-01-25           11  ...        11   705749.0
District of Columbia  2020-01-26           11  ...        11   705749.0
District of Columbia  2020-01-27           11  ...        11   705749.0
District of Columbia  2020-01-28           11  ...        11   705749.0
...                          ...          ...  ...       ...        ...
District of Columbia  2021-01-07           11  ...        11   705749.0
District of Columbia  2021-01-08           11  ...        11   705749.0
District of Columbia  2021-01-09           11  ...        11   705749.0
District of Columbia  2021-01-10           11  ...        11   705749.0
District of Columbia  2021-01-11           11  ...        11   705749.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[57]      0.04      0.00      0.03      0.03      0.04    244.10      1.00
    beta_1[58]      0.04      0.00      0.04      0.03      0.04    241.21      1.00
    beta_1[59]      0.04      0.00      0.04      0.03      0.04    239.97      1.00
    beta_1[60]      0.04      0.00      0.04      0.03      0.04    238.19      1.00
    beta_1[61]      0.04      0.00      0.04      0.03      0.04    245.33      1.00
    beta_1[62]      0.04      0.00      0.04      0.03      0.05    244.76      1.00
    beta_1[63]      0.04      0.00      0.04      0.03      0.05    246.28      1.00
    beta_1[64]      0.04      0.00      0.04      0.03      0.05    243.85      1.00
    beta_1[65]      0.04      0.00      0.04      0.03      0.05    246.88      1.00
    beta_1[66]      0.04      0.00      0.04      0.03      0.05    250.46      1.00
    beta_1[67]      0.04      0.00      0.04      0.03      0.05    256.82      1.00
    beta_1[68]      0.04      0.00      0.04      0.04      0.05    254.47      1.00
    beta_1[69]      0.04      0.00      0.04      0.04      0.05    261.17      1.00
    beta_1[70]      0.04      0.00      0.04      0.04      0.05    260.74      1.00
    beta_1[71]      0.04      0.00      0.04      0.04      0.05    266.77      1.00
    beta_1[72]      0.04      0.00      0.04      0.04      0.05    267.49      1.00
    beta_1[73]      0.04      0.00      0.04      0.04      0.05    272.96      1.00
    beta_1[74]      0.04      0.00      0.04      0.04      0.05    278.70      1.00
    beta_1[75]      0.05      0.00      0.05      0.04      0.05    285.44      1.00
    beta_1[76]      0.05      0.00      0.05      0.04      0.05    288.75      1.00
    beta_1[77]      0.05      0.00      0.05      0.04      0.05    297.53      1.00
    beta_1[78]      0.05      0.00      0.05      0.04      0.05    305.03      1.00
    beta_1[79]      0.05      0.00      0.05      0.04      0.05    306.28      1.00
    beta_1[80]      0.05      0.00      0.05      0.04      0.05    315.69      1.00
    beta_1[81]      0.05      0.00      0.05      0.04      0.05    338.87      1.00
    beta_1[82]      0.05      0.00      0.05      0.04      0.05    359.97      1.00
    beta_1[83]      0.05      0.00      0.05      0.04      0.05    374.00      1.00
    beta_1[84]      0.05      0.00      0.05      0.04      0.05    369.93      1.00
    beta_1[85]      0.05      0.00      0.05      0.04      0.05    381.64      1.00
    beta_1[86]      0.05      0.00      0.05      0.04      0.05    399.04      1.00
    beta_1[87]      0.05      0.00      0.05      0.04      0.05    407.73      1.00
    beta_1[88]      0.05      0.00      0.05      0.05      0.05    420.10      1.00
    beta_1[89]      0.05      0.00      0.05      0.05      0.05    444.46      1.00
    beta_1[90]      0.05      0.00      0.05      0.05      0.05    478.28      1.00
    beta_1[91]      0.05      0.00      0.05      0.05      0.05    510.24      1.00
