,state,date,h,cp
140,AK,2020-06-06,0,0.0
141,AK,2020-06-06,1,0.0
142,AK,2020-06-06,2,0.0
143,AK,2020-06-06,3,0.0
144,AK,2020-06-13,0,0.0
145,AK,2020-06-13,1,0.0
146,AK,2020-06-13,2,0.0
147,AK,2020-06-13,3,0.0
148,AK,2020-06-20,0,0.0
149,AK,2020-06-20,1,0.0
150,AK,2020-06-20,2,1.0
151,AK,2020-06-20,3,1.0
152,AK,2020-06-27,0,0.0
153,AK,2020-06-27,1,0.0
154,AK,2020-06-27,2,0.0
155,AK,2020-06-27,3,1.0
156,AK,2020-07-04,0,0.0
157,AK,2020-07-04,1,0.0
158,AK,2020-07-04,2,0.0
159,AK,2020-07-04,3,1.0
160,AK,2020-07-11,0,0.0
161,AK,2020-07-11,1,0.0
162,AK,2020-07-11,2,1.0
163,AK,2020-07-11,3,1.0
164,AK,2020-07-18,0,0.0
165,AK,2020-07-18,1,0.0
166,AK,2020-07-18,2,0.0
167,AK,2020-07-18,3,0.0
168,AK,2020-07-25,0,0.0
169,AK,2020-07-25,1,0.0
170,AK,2020-07-25,2,0.0
171,AK,2020-07-25,3,0.0
172,AK,2020-08-01,0,0.0
173,AK,2020-08-01,1,0.0
174,AK,2020-08-01,2,0.0
175,AK,2020-08-01,3,1.0
176,AK,2020-08-08,0,0.0
177,AK,2020-08-08,1,0.0
178,AK,2020-08-08,2,1.0
179,AK,2020-08-08,3,1.0
180,AK,2020-08-15,0,0.0
181,AK,2020-08-15,1,1.0
182,AK,2020-08-15,2,1.0
183,AK,2020-08-15,3,1.0
184,AK,2020-08-22,0,0.0
185,AK,2020-08-22,1,0.0
186,AK,2020-08-22,2,0.0
187,AK,2020-08-22,3,0.0
188,AK,2020-08-29,0,0.0
189,AK,2020-08-29,1,0.0
190,AK,2020-08-29,2,0.0
191,AK,2020-08-29,3,1.0
192,AK,2020-09-05,0,0.0
193,AK,2020-09-05,1,0.0
194,AK,2020-09-05,2,1.0
195,AK,2020-09-05,3,1.0
196,AK,2020-09-12,0,0.0
197,AK,2020-09-12,1,1.0
198,AK,2020-09-12,2,1.0
199,AK,2020-09-12,3,0.0
200,AK,2020-09-19,0,1.0
201,AK,2020-09-19,1,1.0
202,AK,2020-09-19,2,0.0
203,AK,2020-09-19,3,1.0
204,AK,2020-09-26,0,0.0
205,AK,2020-09-26,1,0.0
