                     date locationtest  value abbreviation location  population
location_name                                                                  
New York       2020-01-24           36      0           NY       36  19453561.0
New York       2020-01-25           36      0           NY       36  19453561.0
New York       2020-01-26           36      0           NY       36  19453561.0
New York       2020-01-27           36      0           NY       36  19453561.0
New York       2020-01-28           36      0           NY       36  19453561.0
...                   ...          ...    ...          ...      ...         ...
New York       2021-01-07           36  17588           NY       36  19453561.0
New York       2021-01-08           36  19560           NY       36  19453561.0
New York       2021-01-09           36  17839           NY       36  19453561.0
New York       2021-01-10           36  16308           NY       36  19453561.0
New York       2021-01-11           36  14179           NY       36  19453561.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[60]      0.04      0.00      0.04      0.04      0.05    181.23      1.01
    beta_1[61]      0.04      0.00      0.04      0.04      0.05    182.89      1.01
    beta_1[62]      0.04      0.00      0.04      0.04      0.05    186.22      1.01
    beta_1[63]      0.05      0.00      0.05      0.04      0.05    188.24      1.02
    beta_1[64]      0.05      0.00      0.05      0.04      0.05    192.83      1.01
    beta_1[65]      0.05      0.00      0.05      0.04      0.05    192.44      1.01
    beta_1[66]      0.05      0.00      0.05      0.04      0.05    197.34      1.02
    beta_1[67]      0.05      0.00      0.05      0.04      0.05    208.75      1.02
    beta_1[68]      0.05      0.00      0.05      0.04      0.05    222.21      1.01
    beta_1[69]      0.05      0.00      0.05      0.05      0.05    219.79      1.02
    beta_1[70]      0.05      0.00      0.05      0.05      0.05    227.80      1.02
    beta_1[71]      0.05      0.00      0.05      0.05      0.05    241.81      1.02
    beta_1[72]      0.05      0.00      0.05      0.05      0.05    250.88      1.02
    beta_1[73]      0.05      0.00      0.05      0.05      0.05    261.17      1.02
    beta_1[74]      0.05      0.00      0.05      0.05      0.05    265.14      1.02
    beta_1[75]      0.05      0.00      0.05      0.05      0.05    305.32      1.02
    beta_1[76]      0.05      0.00      0.05      0.04      0.05    391.05      1.02
    beta_1[77]      0.05      0.00      0.05      0.04      0.05    418.13      1.01
    beta_1[78]      0.05      0.00      0.05      0.04      0.05    474.23      1.01
    beta_1[79]      0.04      0.00      0.04      0.04      0.05    564.82      1.00
    beta_1[80]      0.04      0.00      0.04      0.04      0.05    606.67      1.00
    beta_1[81]      0.04      0.00      0.04      0.04      0.04    689.64      1.00
    beta_1[82]      0.04      0.00      0.04      0.03      0.04    698.90      1.00
    beta_1[83]      0.04      0.00      0.04      0.03      0.04    687.84      1.00
    beta_1[84]      0.03      0.00      0.03      0.03      0.04    763.03      1.00
    beta_1[85]      0.03      0.00      0.03      0.03      0.03    856.88      1.00
    beta_1[86]      0.03      0.00      0.03      0.03      0.03    857.94      1.00
    beta_1[87]      0.03      0.00      0.03      0.03      0.03    821.26      1.00
    beta_1[88]      0.03      0.00      0.03      0.02      0.03    859.62      1.00
    beta_1[89]      0.03      0.00      0.03      0.02      0.03    853.83      1.00
    beta_1[90]      0.02      0.00      0.02      0.02      0.03    773.82      1.00
    beta_1[91]      0.02      0.00      0.02      0.02      0.02    830.83      1.00
    beta_1[92]      0.02      0.00      0.02      0.02      0.02    873.64      1.00
    beta_1[93]      0.02      0.00      0.02      0.02      0.02    944.38      1.00
    beta_1[94]      0.02      0.00      0.02      0.02      0.02   1005.10      1.00
    beta_1[95]      0.02      0.00      0.02      0.01      0.02   1092.76      1.00
