                     date locationtest  value abbreviation location  population
location_name                                                                  
New Jersey     2020-01-24           34      0           NJ       34   8882190.0
New Jersey     2020-01-25           34      0           NJ       34   8882190.0
New Jersey     2020-01-26           34      0           NJ       34   8882190.0
New Jersey     2020-01-27           34      0           NJ       34   8882190.0
New Jersey     2020-01-28           34      0           NJ       34   8882190.0
...                   ...          ...    ...          ...      ...         ...
New Jersey     2021-01-07           34   6704           NJ       34   8882190.0
New Jersey     2021-01-08           34   5931           NJ       34   8882190.0
New Jersey     2021-01-09           34   6558           NJ       34   8882190.0
New Jersey     2021-01-10           34   5578           NJ       34   8882190.0
New Jersey     2021-01-11           34   5334           NJ       34   8882190.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[62]      0.03      0.00      0.03      0.03      0.04    180.90      1.00
    beta_1[63]      0.03      0.00      0.03      0.03      0.04    185.60      1.00
    beta_1[64]      0.03      0.00      0.03      0.03      0.04    197.57      1.00
    beta_1[65]      0.03      0.00      0.03      0.03      0.04    205.57      1.00
    beta_1[66]      0.03      0.00      0.03      0.03      0.04    210.22      1.00
    beta_1[67]      0.04      0.00      0.04      0.03      0.04    214.30      1.00
    beta_1[68]      0.04      0.00      0.04      0.03      0.04    219.71      1.00
    beta_1[69]      0.04      0.00      0.04      0.03      0.04    225.45      1.00
    beta_1[70]      0.04      0.00      0.04      0.03      0.04    239.61      1.00
    beta_1[71]      0.04      0.00      0.04      0.03      0.04    259.46      1.00
    beta_1[72]      0.04      0.00      0.04      0.03      0.04    275.72      1.00
    beta_1[73]      0.04      0.00      0.04      0.03      0.04    287.97      1.00
    beta_1[74]      0.04      0.00      0.04      0.04      0.04    289.28      1.00
    beta_1[75]      0.04      0.00      0.04      0.04      0.04    308.51      1.00
    beta_1[76]      0.04      0.00      0.04      0.04      0.04    294.92      1.00
    beta_1[77]      0.04      0.00      0.04      0.04      0.04    312.87      1.00
    beta_1[78]      0.04      0.00      0.04      0.04      0.04    358.03      1.00
    beta_1[79]      0.04      0.00      0.04      0.03      0.04    412.66      1.00
    beta_1[80]      0.04      0.00      0.04      0.03      0.04    518.15      1.00
    beta_1[81]      0.04      0.00      0.04      0.03      0.04    605.46      1.00
    beta_1[82]      0.04      0.00      0.04      0.03      0.04    726.75      1.00
    beta_1[83]      0.04      0.00      0.04      0.03      0.04    792.91      1.00
    beta_1[84]      0.03      0.00      0.03      0.03      0.04    941.81      1.00
    beta_1[85]      0.03      0.00      0.03      0.03      0.04    976.10      1.00
    beta_1[86]      0.03      0.00      0.03      0.03      0.03   1025.90      1.00
    beta_1[87]      0.03      0.00      0.03      0.03      0.03   1060.24      1.00
    beta_1[88]      0.03      0.00      0.03      0.03      0.03   1082.80      1.00
    beta_1[89]      0.03      0.00      0.03      0.03      0.03   1128.93      1.00
    beta_1[90]      0.03      0.00      0.03      0.02      0.03   1223.07      1.00
    beta_1[91]      0.02      0.00      0.02      0.02      0.03   1274.77      1.00
    beta_1[92]      0.02      0.00      0.02      0.02      0.03   1368.26      1.00
    beta_1[93]      0.02      0.00      0.02      0.02      0.02   1501.23      1.00
    beta_1[94]      0.02      0.00      0.02      0.02      0.02   1504.43      1.00
    beta_1[95]      0.02      0.00      0.02      0.02      0.02   1582.50      1.00
    beta_1[96]      0.02      0.00      0.02      0.02      0.02   1726.82      1.00
    beta_1[97]      0.02      0.00      0.02      0.02      0.02   1695.38      1.00
    beta_1[98]      0.02      0.00      0.02      0.02      0.02   1701.86      1.00
    beta_1[99]      0.02      0.00      0.02      0.02      0.02   1729.84      1.00
   beta_1[100]      0.02      0.00      0.02      0.02      0.02   2070.89      1.00
   beta_1[101]      0.02      0.00      0.02      0.01      0.02   2091.41      1.00
   beta_1[102]      0.02      0.00      0.02      0.01      0.02   1736.60      1.00
   beta_1[103]      0.02      0.00      0.02      0.01      0.02   1926.90      1.00
   beta_1[104]      0.02      0.00      0.02      0.01      0.02   1893.65      1.00
   beta_1[105]      0.01      0.00      0.01      0.01      0.02   1813.78      1.00
   beta_1[106]      0.01      0.00      0.01      0.01      0.01   1760.26      1.00
   beta_1[107]      0.01      0.00      0.01      0.01      0.01   1587.76      1.00
   beta_1[108]      0.01      0.00      0.01      0.01      0.01   1821.57      1.00
