,state,date,h,mae
126,AL,2020-12-19,2,211.13015747070312
127,AL,2020-12-19,3,600.4223480224609
128,AK,2020-05-16,0,6.981766700744629
129,AK,2020-05-16,1,6.851611137390137
130,AK,2020-05-16,2,6.753008842468262
131,AK,2020-05-16,3,4.652437686920166
132,AK,2020-05-23,0,6.9692606925964355
133,AK,2020-05-23,1,6.938902378082275
134,AK,2020-05-23,2,4.912387847900391
135,AK,2020-05-23,3,6.885315418243408
136,AK,2020-05-30,0,6.984092712402344
137,AK,2020-05-30,1,4.974601745605469
138,AK,2020-05-30,2,6.964925289154053
139,AK,2020-05-30,3,4.9571404457092285
140,AK,2020-06-06,0,5.076227188110352
141,AK,2020-06-06,1,7.11492919921875
142,AK,2020-06-06,2,5.138934135437012
143,AK,2020-06-06,3,5.1600213050842285
144,AK,2020-06-13,0,9.096329689025879
145,AK,2020-06-13,1,8.208638191223145
146,AK,2020-06-13,2,9.294784545898438
147,AK,2020-06-13,3,11.481693267822266
148,AK,2020-06-20,0,5.557918071746826
149,AK,2020-06-20,1,5.588515281677246
150,AK,2020-06-20,2,6.620614528656006
151,AK,2020-06-20,3,6.652101516723633
152,AK,2020-06-27,0,6.0291242599487305
153,AK,2020-06-27,1,7.0908203125
154,AK,2020-06-27,2,7.146359443664551
155,AK,2020-06-27,3,6.200717926025391
156,AK,2020-07-04,0,9.251310348510742
157,AK,2020-07-04,1,10.734000205993652
158,AK,2020-07-04,2,11.154991149902344
159,AK,2020-07-04,3,10.749063491821289
160,AK,2020-07-11,0,7.601749420166016
161,AK,2020-07-11,1,6.868293762207031
162,AK,2020-07-11,2,5.136606216430664
163,AK,2020-07-11,3,7.417850494384766
164,AK,2020-07-18,0,5.688350677490234
165,AK,2020-07-18,1,3.3751535415649414
166,AK,2020-07-18,2,5.060756683349609
167,AK,2020-07-18,3,4.763019561767578
168,AK,2020-07-25,0,5.648070335388184
169,AK,2020-07-25,1,8.535999298095703
170,AK,2020-07-25,2,9.314850807189941
171,AK,2020-07-25,3,9.148425102233887
172,AK,2020-08-01,0,8.946911811828613
173,AK,2020-08-01,1,9.85592269897461
174,AK,2020-08-01,2,9.616296768188477
175,AK,2020-08-01,3,7.391493797302246
176,AK,2020-08-08,0,7.1945648193359375
177,AK,2020-08-08,1,6.0976057052612305
178,AK,2020-08-08,2,3.000521659851074
179,AK,2020-08-08,3,3.9033498764038086
180,AK,2020-08-15,0,5.581911087036133
181,AK,2020-08-15,1,2.324955940246582
182,AK,2020-08-15,2,3.0765886306762695
183,AK,2020-08-15,3,5.8334550857543945
184,AK,2020-08-22,0,4.182748794555664
185,AK,2020-08-22,1,6.110645294189453
186,AK,2020-08-22,2,10.15233325958252
187,AK,2020-08-22,3,12.282445907592773
188,AK,2020-08-29,0,5.789880752563477
189,AK,2020-08-29,1,9.560514450073242
190,AK,2020-08-29,2,11.389922142028809
191,AK,2020-08-29,3,6.275110244750977
192,AK,2020-09-05,0,8.549020767211914
193,AK,2020-09-05,1,9.543214797973633
194,AK,2020-09-05,2,3.544252395629883
195,AK,2020-09-05,3,4.539436340332031
196,AK,2020-09-12,0,8.617263793945312
197,AK,2020-09-12,1,2.7320661544799805
198,AK,2020-09-12,2,3.8633270263671875
199,AK,2020-09-12,3,7.9935455322265625
200,AK,2020-09-19,0,1.2054500579833984
201,AK,2020-09-19,1,1.9115638732910156
202,AK,2020-09-19,2,5.629205703735352
203,AK,2020-09-19,3,0.35344505310058594
204,AK,2020-09-26,0,4.361698150634766
205,AK,2020-09-26,1,9.121073722839355
206,AK,2020-09-26,2,4.927030563354492
207,AK,2020-09-26,3,11.792043685913086
208,AK,2020-10-03,0,9.139228820800781
209,AK,2020-10-03,1,4.849164962768555
210,AK,2020-10-03,2,11.576443672180176
211,AK,2020-10-03,3,0.6556568145751953
212,AK,2020-10-10,0,2.120512008666992
213,AK,2020-10-10,1,7.667135238647461
214,AK,2020-10-10,2,5.796403884887695
215,AK,2020-10-10,3,5.758976936340332
216,AK,2020-10-17,0,10.564996719360352
217,AK,2020-10-17,1,2.0442142486572266
218,AK,2020-10-17,2,10.335609436035156
219,AK,2020-10-17,3,1.2782506942749023
220,AK,2020-10-24,0,4.9954986572265625
221,AK,2020-10-24,1,6.819912910461426
222,AK,2020-10-24,2,5.3752031326293945
223,AK,2020-10-24,3,4.435358047485352
224,AK,2020-10-31,0,14.303604125976562
225,AK,2020-10-31,1,5.525667190551758
226,AK,2020-10-31,2,18.62059783935547
227,AK,2020-10-31,3,7.218635559082031
228,AK,2020-11-07,0,3.2998790740966797
229,AK,2020-11-07,1,6.606982231140137
230,AK,2020-11-07,2,8.47850227355957
231,AK,2020-11-07,3,11.556781768798828
232,AK,2020-11-14,0,8.41287612915039
233,AK,2020-11-14,1,6.874951362609863
234,AK,2020-11-14,2,10.181680679321289
235,AK,2020-11-14,3,21.478848457336426
236,AK,2020-11-21,0,7.874197006225586
237,AK,2020-11-21,1,10.777027130126953
238,AK,2020-11-21,2,21.714818954467773
