,state,date,h,mae
132,AK,2020-05-23,0,8.211639404296875
133,AK,2020-05-23,1,107.06031799316406
134,AK,2020-05-23,2,121.09939765930176
135,AK,2020-05-23,3,101.2313461303711
136,AK,2020-05-30,0,99.09688758850098
137,AK,2020-05-30,1,110.43293380737305
138,AK,2020-05-30,2,88.3638916015625
139,AK,2020-05-30,3,144.1948356628418
140,AK,2020-06-06,0,51.32738494873047
141,AK,2020-06-06,1,1.9185333251953125
142,AK,2020-06-06,2,30.337554931640625
143,AK,2020-06-06,3,139.05911254882812
144,AK,2020-06-13,0,73.23489379882812
145,AK,2020-06-13,1,74.74026489257812
146,AK,2020-06-13,2,9.817108154296875
147,AK,2020-06-13,3,9.185516357421875
148,AK,2020-06-20,0,13.3319091796875
149,AK,2020-06-20,1,127.56297302246094
150,AK,2020-06-20,2,126.83734130859375
151,AK,2020-06-20,3,316.2830047607422
152,AK,2020-06-27,0,112.88856506347656
153,AK,2020-06-27,1,110.20436096191406
154,AK,2020-06-27,2,293.80784606933594
155,AK,2020-06-27,3,512.9768981933594
156,AK,2020-07-04,0,17.78411865234375
157,AK,2020-07-04,1,122.24560546875
158,AK,2020-07-04,2,302.66595458984375
159,AK,2020-07-04,3,500.8990478515625
160,AK,2020-07-11,0,85.92861938476562
161,AK,2020-07-11,1,249.06210327148438
162,AK,2020-07-11,2,435.6009521484375
163,AK,2020-07-11,3,13.7738037109375
164,AK,2020-07-18,0,169.14276123046875
165,AK,2020-07-18,1,337.81719970703125
166,AK,2020-07-18,2,97.4031982421875
167,AK,2020-07-18,3,88.83905029296875
168,AK,2020-07-25,0,129.6231689453125
169,AK,2020-07-25,1,377.8001708984375
170,AK,2020-07-25,2,433.21502685546875
171,AK,2020-07-25,3,504.4696044921875
172,AK,2020-08-01,0,502.1724853515625
173,AK,2020-08-01,1,574.7313232421875
174,AK,2020-08-01,2,682.67529296875
175,AK,2020-08-01,3,711.0938720703125
176,AK,2020-08-08,0,126.6798095703125
177,AK,2020-08-08,1,121.674072265625
178,AK,2020-08-08,2,108.04058837890625
179,AK,2020-08-08,3,138.3587646484375
180,AK,2020-08-15,0,130.68231201171875
181,AK,2020-08-15,1,122.4508056640625
182,AK,2020-08-15,2,141.2840576171875
183,AK,2020-08-15,3,76.54736328125
184,AK,2020-08-22,0,82.64910888671875
185,AK,2020-08-22,1,109.42584228515625
186,AK,2020-08-22,2,53.7490234375
187,AK,2020-08-22,3,45.2308349609375
188,AK,2020-08-29,0,152.643310546875
189,AK,2020-08-29,1,118.9539794921875
190,AK,2020-08-29,2,128.408935546875
191,AK,2020-08-29,3,10.8175048828125
192,AK,2020-09-05,0,49.3048095703125
193,AK,2020-09-05,1,48.4862060546875
194,AK,2020-09-05,2,97.36749267578125
195,AK,2020-09-05,3,270.97705078125
196,AK,2020-09-12,0,74.29632568359375
197,AK,2020-09-12,1,58.59088134765625
198,AK,2020-09-12,2,216.58978271484375
199,AK,2020-09-12,3,495.34271240234375
200,AK,2020-09-19,0,115.14605712890625
201,AK,2020-09-19,1,275.63671875
202,AK,2020-09-19,2,561.452880859375
203,AK,2020-09-19,3,761.5504150390625
204,AK,2020-09-26,0,47.9803466796875
205,AK,2020-09-26,1,292.14630126953125
206,AK,2020-09-26,2,456.56866455078125
207,AK,2020-09-26,3,774.6677856445312
208,AK,2020-10-03,0,110.663818359375
209,AK,2020-10-03,1,191.50634765625
210,AK,2020-10-03,2,441.5704345703125
211,AK,2020-10-03,3,1456.8460693359375
212,AK,2020-10-10,0,102.12841796875
213,AK,2020-10-10,1,54.25048828125
214,AK,2020-10-10,2,996.156982421875
215,AK,2020-10-10,3,1063.6209716796875
216,AK,2020-10-17,0,41.200439453125
217,AK,2020-10-17,1,1015.527587890625
