,state,date,h,mae
0,AL,2020-05-16,0,525.2109999999998
1,AL,2020-05-16,1,1440.5759999999998
2,AL,2020-05-16,2,756.7179999999998
3,AL,2020-05-16,3,3046.052
4,AL,2020-05-23,0,956.9670000000001
5,AL,2020-05-23,1,144.91499999999996
6,AL,2020-05-23,2,2303.2659999999996
7,AL,2020-05-23,3,1287.6230000000005
8,AL,2020-05-30,0,986.5830000000001
9,AL,2020-05-30,1,715.1050000000005
10,AL,2020-05-30,2,892.5799999999999
11,AL,2020-05-30,3,1085.9030000000002
12,AL,2020-06-06,0,2295.46
13,AL,2020-06-06,1,1664.0
14,AL,2020-06-06,2,2742.539
15,AL,2020-06-06,3,5406.017
16,AL,2020-06-13,0,3472.803000000001
17,AL,2020-06-13,1,6909.187999999998
18,AL,2020-06-13,2,11451.417000000001
19,AL,2020-06-13,3,22043.328
20,AL,2020-06-20,0,1936.6860000000001
21,AL,2020-06-20,1,5022.8330000000005
22,AL,2020-06-20,2,6763.847
23,AL,2020-06-20,3,10742.002
24,AL,2020-06-27,0,1335.9670000000006
25,AL,2020-06-27,1,1373.866
26,AL,2020-06-27,2,3205.331
27,AL,2020-06-27,3,983.0960000000014
28,AL,2020-07-04,0,2339.0469999999996
29,AL,2020-07-04,1,5371.382
30,AL,2020-07-04,2,3055.604000000001
31,AL,2020-07-04,3,1836.342999999999
32,AL,2020-07-11,0,658.6360000000004
33,AL,2020-07-11,1,7191.351999999999
34,AL,2020-07-11,2,14305.076999999997
35,AL,2020-07-11,3,27413.894
36,AL,2020-07-18,0,2936.023000000001
37,AL,2020-07-18,1,5639.216
38,AL,2020-07-18,2,11846.919000000002
39,AL,2020-07-18,3,18939.941
40,AL,2020-07-25,0,626.8000000000011
41,AL,2020-07-25,1,1341.7249999999985
42,AL,2020-07-25,2,3355.696
43,AL,2020-07-25,3,2399.3109999999997
44,AL,2020-08-01,0,594.0270000000019
45,AL,2020-08-01,1,2122.0190000000002
46,AL,2020-08-01,2,543.1610000000001
47,AL,2020-08-01,3,1495.2209999999995
48,AL,2020-08-08,0,2010.2810000000009
49,AL,2020-08-08,1,353.3010000000013
