,state,date,h,mae
0,AL,2020-05-16,0,31.929000000000002
1,AL,2020-05-16,1,28.086
2,AL,2020-05-16,2,25.928999999999988
3,AL,2020-05-16,3,15.72999999999999
4,AL,2020-05-23,0,10.272000000000006
5,AL,2020-05-23,1,9.291999999999987
6,AL,2020-05-23,2,2.5619999999999976
7,AL,2020-05-23,3,21.992999999999995
8,AL,2020-05-30,0,13.070999999999998
9,AL,2020-05-30,1,6.670000000000002
10,AL,2020-05-30,2,35.01799999999999
11,AL,2020-05-30,3,35.771000000000015
12,AL,2020-06-06,0,10.100999999999999
13,AL,2020-06-06,1,7.966999999999999
14,AL,2020-06-06,2,9.460999999999999
15,AL,2020-06-06,3,15.366
16,AL,2020-06-13,0,27.067999999999998
17,AL,2020-06-13,1,42.13300000000001
18,AL,2020-06-13,2,87.22
19,AL,2020-06-13,3,167.159
20,AL,2020-06-20,0,3.1369999999999862
21,AL,2020-06-20,1,11.989000000000004
22,AL,2020-06-20,2,35.656000000000006
23,AL,2020-06-20,3,101.958
24,AL,2020-06-27,0,1.1949999999999932
25,AL,2020-06-27,1,6.2109999999999985
26,AL,2020-06-27,2,55.952
27,AL,2020-06-27,3,27.549000000000007
28,AL,2020-07-04,0,10.506
29,AL,2020-07-04,1,66.852
30,AL,2020-07-04,2,56.801
31,AL,2020-07-04,3,17.89699999999999
32,AL,2020-07-11,0,39.988
33,AL,2020-07-11,1,0.3900000000000148
34,AL,2020-07-11,2,73.61699999999999
35,AL,2020-07-11,3,150.774
36,AL,2020-07-18,0,12.057999999999993
37,AL,2020-07-18,1,72.06299999999999
38,AL,2020-07-18,2,107.05600000000004
39,AL,2020-07-18,3,176.84700000000004
40,AL,2020-07-25,0,49.646000000000015
41,AL,2020-07-25,1,56.155
42,AL,2020-07-25,2,69.786
43,AL,2020-07-25,3,101.50999999999999
44,AL,2020-08-01,0,39.477000000000004
45,AL,2020-08-01,1,51.067999999999984
46,AL,2020-08-01,2,70.39800000000002
47,AL,2020-08-01,3,41.434
48,AL,2020-08-08,0,38.83099999999999
49,AL,2020-08-08,1,60.98399999999998
50,AL,2020-08-08,2,27.127999999999986
51,AL,2020-08-08,3,40.281000000000006
52,AL,2020-08-15,0,27.744
53,AL,2020-08-15,1,17.534999999999997
54,AL,2020-08-15,2,21.155
55,AL,2020-08-15,3,11.75399999999999
56,AL,2020-08-22,0,12.626000000000033
57,AL,2020-08-22,1,5.197999999999993
58,AL,2020-08-22,2,30.489999999999995
59,AL,2020-08-22,3,10.450999999999993
60,AL,2020-08-29,0,16.823999999999984
61,AL,2020-08-29,1,68.47
62,AL,2020-08-29,2,60.885999999999996
63,AL,2020-08-29,3,83.81099999999998
64,AL,2020-09-05,0,45.55500000000001
65,AL,2020-09-05,1,19.414
66,AL,2020-09-05,2,10.430999999999983
67,AL,2020-09-05,3,20.677999999999997
68,AL,2020-09-12,0,14.462000000000003
69,AL,2020-09-12,1,13.98699999999998
70,AL,2020-09-12,2,26.842
71,AL,2020-09-12,3,27.982000000000014
72,AL,2020-09-19,0,13.835000000000008
73,AL,2020-09-19,1,31.367000000000004
74,AL,2020-09-19,2,22.801000000000002
75,AL,2020-09-19,3,41.482
76,AL,2020-09-26,0,27.632999999999996
77,AL,2020-09-26,1,22.236999999999995
78,AL,2020-09-26,2,41.69099999999999
79,AL,2020-09-26,3,7.471000000000004
80,AL,2020-10-03,0,34.34900000000002
81,AL,2020-10-03,1,55.870000000000005
82,AL,2020-10-03,2,14.811999999999998
83,AL,2020-10-03,3,39.205
84,AL,2020-10-10,0,46.206999999999994
85,AL,2020-10-10,1,4.670000000000002
86,AL,2020-10-10,2,34.09800000000001
87,AL,2020-10-10,3,51.322
88,AL,2020-10-17,0,17.385999999999996
89,AL,2020-10-17,1,5.9469999999999885
90,AL,2020-10-17,2,22.033999999999992
91,AL,2020-10-17,3,68.698
92,AL,2020-10-24,0,10.662999999999997
93,AL,2020-10-24,1,24.29600000000002
94,AL,2020-10-24,2,75.427
95,AL,2020-10-24,3,118.29500000000002
96,AL,2020-10-31,0,9.24199999999999
97,AL,2020-10-31,1,50.05999999999999
98,AL,2020-10-31,2,88.848
99,AL,2020-10-31,3,25.181999999999988
100,AL,2020-11-07,0,50.02000000000001
101,AL,2020-11-07,1,93.59999999999998
