                     date locationtest  value abbreviation location  population
location_name                                                                  
New Hampshire  2020-01-24           33      0           NH       33   1359711.0
New Hampshire  2020-01-25           33      0           NH       33   1359711.0
New Hampshire  2020-01-26           33      0           NH       33   1359711.0
New Hampshire  2020-01-27           33      0           NH       33   1359711.0
New Hampshire  2020-01-28           33      0           NH       33   1359711.0
...                   ...          ...    ...          ...      ...         ...
New Hampshire  2021-01-07           33    423           NH       33   1359711.0
New Hampshire  2021-01-08           33    891           NH       33   1359711.0
New Hampshire  2021-01-09           33    719           NH       33   1359711.0
New Hampshire  2021-01-10           33    729           NH       33   1359711.0
New Hampshire  2021-01-11           33    707           NH       33   1359711.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[63]      0.01      0.00      0.01      0.01      0.02    128.12      1.00
    beta_1[64]      0.01      0.00      0.01      0.01      0.02    133.76      1.00
    beta_1[65]      0.01      0.00      0.01      0.01      0.02    141.51      1.00
    beta_1[66]      0.01      0.00      0.01      0.01      0.02    149.74      1.00
    beta_1[67]      0.01      0.00      0.01      0.01      0.02    149.96      1.00
    beta_1[68]      0.01      0.00      0.01      0.01      0.02    150.89      1.00
    beta_1[69]      0.01      0.00      0.01      0.01      0.02    157.90      1.00
    beta_1[70]      0.01      0.00      0.01      0.01      0.02    169.63      1.00
    beta_1[71]      0.01      0.00      0.01      0.01      0.02    169.32      1.00
    beta_1[72]      0.01      0.00      0.01      0.01      0.02    176.74      1.00
    beta_1[73]      0.01      0.00      0.01      0.01      0.02    202.45      1.00
    beta_1[74]      0.02      0.00      0.02      0.01      0.02    223.20      1.00
    beta_1[75]      0.02      0.00      0.02      0.01      0.02    224.16      1.00
    beta_1[76]      0.02      0.00      0.02      0.01      0.02    244.08      1.00
    beta_1[77]      0.02      0.00      0.02      0.01      0.02    251.58      1.00
    beta_1[78]      0.02      0.00      0.02      0.01      0.02    241.45      1.00
    beta_1[79]      0.02      0.00      0.02      0.01      0.02    262.43      1.00
    beta_1[80]      0.02      0.00      0.02      0.01      0.02    274.01      1.00
    beta_1[81]      0.02      0.00      0.02      0.01      0.02    301.10      1.00
    beta_1[82]      0.02      0.00      0.02      0.01      0.02    321.99      1.00
    beta_1[83]      0.02      0.00      0.02      0.01      0.02    345.96      1.00
    beta_1[84]      0.02      0.00      0.02      0.01      0.02    375.55      1.00
    beta_1[85]      0.02      0.00      0.02      0.01      0.02    365.78      1.00
    beta_1[86]      0.02      0.00      0.02      0.01      0.02    370.83      1.00
    beta_1[87]      0.02      0.00      0.02      0.01      0.02    379.58      1.00
    beta_1[88]      0.02      0.00      0.02      0.01      0.02    399.10      1.00
    beta_1[89]      0.02      0.00      0.02      0.01      0.02    439.27      1.00
    beta_1[90]      0.02      0.00      0.02      0.01      0.02    474.94      1.00
    beta_1[91]      0.02      0.00      0.02      0.01      0.02    537.30      1.00
    beta_1[92]      0.02      0.00      0.02      0.01      0.02    600.05      1.00
    beta_1[93]      0.02      0.00      0.02      0.01      0.02    614.91      1.00
    beta_1[94]      0.02      0.00      0.02      0.01      0.02    656.91      1.00
    beta_1[95]      0.02      0.00      0.02      0.01      0.02    732.66      1.00
    beta_1[96]      0.02      0.00      0.02      0.01      0.02    802.00      1.00
    beta_1[97]      0.02      0.00      0.02      0.01      0.02    857.58      1.00
    beta_1[98]      0.02      0.00      0.02      0.01      0.02    794.35      1.00
    beta_1[99]      0.02      0.00      0.02      0.01      0.02    857.95      1.00
   beta_1[100]      0.02      0.00      0.02      0.01      0.02    863.01      1.00
   beta_1[101]      0.02      0.00      0.02      0.01      0.02    933.87      1.00
   beta_1[102]      0.02      0.00      0.02      0.01      0.02    996.97      1.00
   beta_1[103]      0.02      0.00      0.02      0.02      0.02    997.08      1.00
   beta_1[104]      0.02      0.00      0.02      0.02      0.02   1161.65      1.00
   beta_1[105]      0.02      0.00      0.02      0.02      0.02   1141.57      1.00
   beta_1[106]      0.02      0.00      0.02      0.02      0.02   1100.02      1.00
   beta_1[107]      0.02      0.00      0.02      0.01      0.02    937.68      1.00
   beta_1[108]      0.02      0.00      0.02      0.01      0.02    990.95      1.00
   beta_1[109]      0.02      0.00      0.02      0.01      0.02    936.23      1.00
   beta_1[110]      0.02      0.00      0.02      0.01      0.02    895.21      1.00
   beta_1[111]      0.02      0.00      0.02      0.01      0.02    781.40      1.00
