                     date locationtest  value abbreviation location  population
location_name                                                                  
New Mexico     2020-01-24           35      0           NM       35   2096829.0
New Mexico     2020-01-25           35      0           NM       35   2096829.0
New Mexico     2020-01-26           35      0           NM       35   2096829.0
New Mexico     2020-01-27           35      0           NM       35   2096829.0
New Mexico     2020-01-28           35      0           NM       35   2096829.0
...                   ...          ...    ...          ...      ...         ...
New Mexico     2021-01-07           35   1835           NM       35   2096829.0
New Mexico     2021-01-08           35   1637           NM       35   2096829.0
New Mexico     2021-01-09           35   1498           NM       35   2096829.0
New Mexico     2021-01-10           35   1203           NM       35   2096829.0
New Mexico     2021-01-11           35    930           NM       35   2096829.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[56]      0.01      0.01      0.01      0.01      0.02    192.10      1.00
    beta_1[57]      0.02      0.01      0.02      0.01      0.03    192.27      1.00
    beta_1[58]      0.02      0.01      0.02      0.01      0.03    192.25      1.00
    beta_1[59]      0.02      0.01      0.02      0.01      0.03    193.58      1.00
    beta_1[60]      0.02      0.01      0.02      0.01      0.03    193.64      1.00
    beta_1[61]      0.02      0.01      0.02      0.01      0.03    192.11      1.00
    beta_1[62]      0.02      0.01      0.02      0.01      0.03    190.30      1.00
    beta_1[63]      0.02      0.01      0.02      0.01      0.03    191.10      1.00
    beta_1[64]      0.02      0.01      0.02      0.01      0.03    192.36      1.00
    beta_1[65]      0.02      0.01      0.02      0.01      0.03    194.10      1.00
    beta_1[66]      0.02      0.01      0.02      0.01      0.03    192.20      1.00
    beta_1[67]      0.02      0.01      0.02      0.01      0.03    191.98      1.00
    beta_1[68]      0.02      0.01      0.02      0.01      0.03    192.57      1.00
    beta_1[69]      0.02      0.01      0.02      0.01      0.03    194.76      1.00
    beta_1[70]      0.02      0.01      0.02      0.01      0.03    198.39      1.00
    beta_1[71]      0.02      0.01      0.02      0.01      0.03    196.21      1.00
    beta_1[72]      0.02      0.01      0.02      0.01      0.03    194.69      1.00
    beta_1[73]      0.02      0.01      0.02      0.01      0.03    193.49      1.00
    beta_1[74]      0.02      0.01      0.02      0.01      0.03    196.25      1.00
    beta_1[75]      0.02      0.01      0.02      0.01      0.03    194.24      1.00
    beta_1[76]      0.02      0.01      0.02      0.01      0.03    194.81      1.00
    beta_1[77]      0.02      0.01      0.02      0.01      0.03    195.13      1.00
    beta_1[78]      0.02      0.01      0.02      0.01      0.03    195.98      1.00
    beta_1[79]      0.02      0.01      0.02      0.01      0.03    198.07      1.00
    beta_1[80]      0.02      0.01      0.02      0.01      0.03    195.54      1.00
    beta_1[81]      0.02      0.01      0.02      0.01      0.03    196.60      1.00
    beta_1[82]      0.02      0.01      0.02      0.01      0.03    194.40      1.00
    beta_1[83]      0.02      0.01      0.02      0.01      0.03    191.77      1.00
    beta_1[84]      0.02      0.01      0.02      0.01      0.03    191.20      1.00
    beta_1[85]      0.02      0.01      0.02      0.01      0.03    191.98      1.00
    beta_1[86]      0.02      0.01      0.02      0.01      0.03    189.47      1.00
    beta_1[87]      0.02      0.01      0.02      0.01      0.03    193.23      1.00
    beta_1[88]      0.02      0.01      0.02      0.01      0.03    191.88      1.00
    beta_1[89]      0.02      0.01      0.02      0.01      0.03    193.32      1.00
    beta_1[90]      0.02      0.01      0.02      0.01      0.03    194.47      1.00
    beta_1[91]      0.02      0.01      0.02      0.01      0.03    193.67      1.00
    beta_1[92]      0.02      0.01      0.02      0.01      0.03    196.06      1.00
    beta_1[93]      0.02      0.01      0.02      0.01      0.03    194.66      1.00
    beta_1[94]      0.02      0.01      0.02      0.01      0.03    196.66      1.00
    beta_1[95]      0.02      0.01      0.02      0.02      0.03    197.47      1.00
    beta_1[96]      0.02      0.01      0.02      0.01      0.03    200.10      1.00
    beta_1[97]      0.02      0.01      0.03      0.02      0.03    202.98      1.00
    beta_1[98]      0.03      0.01      0.03      0.02      0.03    207.50      1.00
    beta_1[99]      0.03      0.01      0.03      0.02      0.03    206.66      1.00
   beta_1[100]      0.03      0.01      0.03      0.02      0.03    208.18      1.00
   beta_1[101]      0.03      0.01      0.03      0.02      0.03    206.89      1.00
   beta_1[102]      0.03      0.01      0.03      0.02      0.03    204.23      1.00
   beta_1[103]      0.03      0.01      0.03      0.02      0.04    211.36      1.00
   beta_1[104]      0.03      0.01      0.03      0.02      0.04    210.97      1.00
   beta_1[105]      0.03      0.01      0.03      0.02      0.04    202.78      1.00
   beta_1[106]      0.03      0.01      0.03      0.02      0.04    206.77      1.00
   beta_1[107]      0.03      0.01      0.03      0.02      0.04    206.96      1.00
   beta_1[108]      0.03      0.01      0.03      0.02      0.04    208.51      1.00
   beta_1[109]      0.03      0.01      0.03      0.02      0.04    205.88      1.00
   beta_1[110]      0.03      0.01      0.03      0.02      0.04    207.68      1.00
   beta_1[111]      0.03      0.01      0.03      0.02      0.04    211.36      1.00
   beta_1[112]      0.03      0.01      0.03      0.02      0.04    213.43      1.00
   beta_1[113]      0.03      0.01      0.03      0.02      0.04    211.90      1.00
   beta_1[114]      0.03      0.01      0.03      0.02      0.04    209.17      1.00
   beta_1[115]      0.03      0.01      0.03      0.02      0.03    215.89      1.00
   beta_1[116]      0.03      0.00      0.03      0.02      0.03    215.66      1.00
   beta_1[117]      0.03      0.00      0.03      0.02      0.03    220.16      1.00
   beta_1[118]      0.03      0.00      0.03      0.02      0.03    219.45      1.00
   beta_1[119]      0.03      0.00      0.03      0.02      0.03    216.26      1.00
   beta_1[120]      0.03      0.00      0.03      0.02      0.03    216.21      1.00
   beta_1[121]      0.03      0.00      0.03      0.02      0.03    216.06      1.00
   beta_1[122]      0.03      0.00      0.03      0.02      0.03    213.49      1.00
   beta_1[123]      0.03      0.00      0.03      0.02      0.03    214.48      1.00
   beta_1[124]      0.03      0.00      0.03      0.02      0.03    213.37      1.00
   beta_1[125]      0.03      0.00      0.03      0.02      0.03    210.79      1.00
   beta_1[126]      0.03      0.00      0.03      0.02      0.03    214.82      1.00
   beta_1[127]      0.03      0.00      0.03      0.02      0.03    218.31      1.00
   beta_1[128]      0.03      0.00      0.03      0.02      0.03    218.23      1.00
   beta_1[129]      0.03      0.00      0.03      0.02      0.03    219.97      1.00
   beta_1[130]      0.02      0.00      0.02      0.02      0.03    220.61      1.00
   beta_1[131]      0.02      0.00      0.02      0.02      0.03    219.53      1.00
   beta_1[132]      0.02      0.00      0.02      0.02      0.03    218.97      1.00
   beta_1[133]      0.02      0.00      0.02      0.02      0.03    221.65      1.00
   beta_1[134]      0.02      0.00      0.02      0.02      0.03    221.20      1.00
   beta_1[135]      0.02      0.00      0.02      0.02      0.03    222.60      1.00
   beta_1[136]      0.02      0.00      0.02      0.02      0.03    226.81      1.00
   beta_1[137]      0.02      0.00      0.02      0.02      0.03    226.54      1.01
   beta_1[138]      0.02      0.00      0.02      0.02      0.03    229.87      1.01
   beta_1[139]      0.02      0.00      0.02      0.02      0.03    228.66      1.00
   beta_1[140]      0.02      0.00      0.02      0.02      0.03    231.55      1.00
   beta_1[141]      0.02      0.00      0.02      0.02      0.03    238.62      1.00
   beta_1[142]      0.02      0.00      0.02      0.02      0.03    240.28      1.00
   beta_1[143]      0.02      0.00      0.02      0.01      0.03    238.78      1.00
   beta_1[144]      0.02      0.00      0.02      0.02      0.03    239.07      1.00
   beta_1[145]      0.02      0.00      0.02      0.01      0.03    239.91      1.00
   beta_1[146]      0.02      0.00      0.02      0.01      0.03    246.13      1.00
   beta_1[147]      0.02      0.00      0.02      0.01      0.03    250.51      1.00
   beta_1[148]      0.02      0.00      0.02      0.01      0.03    255.02      1.00
   beta_1[149]      0.02      0.00      0.02      0.01      0.03    258.81      1.00
   beta_1[150]      0.02      0.00      0.02      0.01      0.03    267.58      1.01
   beta_1[151]      0.02      0.00      0.02      0.01      0.03    282.26      1.00
   beta_1[152]      0.02      0.00      0.02      0.01      0.03    280.64      1.00
   beta_1[153]      0.02      0.00      0.02      0.01      0.03    289.88      1.00
   beta_1[154]      0.02      0.00      0.02      0.01      0.03    283.05      1.01
   beta_1[155]      0.02      0.00      0.02      0.01      0.03    286.31      1.00
   beta_1[156]      0.02      0.00      0.02      0.01      0.03    297.37      1.00
   beta_1[157]      0.02      0.00      0.02      0.01      0.03    295.99      1.00
   beta_1[158]      0.02      0.00      0.02      0.01      0.03    304.14      1.00
   beta_1[159]      0.02      0.00      0.02      0.01      0.03    303.95      1.00
   beta_1[160]      0.02      0.00      0.02      0.01      0.02    297.94      1.00
   beta_1[161]      0.02      0.00      0.02      0.01      0.02    296.76      1.00
   beta_1[162]      0.02      0.00      0.02      0.01      0.02    303.57      1.00
   beta_1[163]      0.02      0.00      0.02      0.01      0.02    306.67      1.00
   beta_1[164]      0.02      0.00      0.02      0.01      0.02    306.06      1.00
   beta_1[165]      0.02      0.00      0.02      0.01      0.02    310.62      1.00
   beta_1[166]      0.02      0.00      0.02      0.01      0.02    309.66      1.00
   beta_1[167]      0.02      0.00      0.02      0.01      0.02    322.11      1.00
   beta_1[168]      0.02      0.00      0.02      0.01      0.02    323.44      1.00
   beta_1[169]      0.02      0.00      0.02      0.01      0.02    318.91      1.00
   beta_1[170]      0.02      0.00      0.02      0.01      0.02    332.11      1.00
   beta_1[171]      0.02      0.00      0.02      0.01      0.02    328.39      1.00
   beta_1[172]      0.02      0.00      0.02      0.01      0.02    333.87      1.00
   beta_1[173]      0.02      0.00      0.02      0.01      0.02    327.48      1.00
   beta_1[174]      0.02      0.00      0.02      0.01      0.02    350.75      1.00
   beta_1[175]      0.02      0.00      0.02      0.01      0.02    350.98      1.00
   beta_1[176]      0.02      0.00      0.02      0.01      0.02    359.33      1.00
   beta_1[177]      0.02      0.00      0.01      0.01      0.02    354.37      1.00
   beta_1[178]      0.01      0.00      0.01      0.01      0.02    354.82      1.00
   beta_1[179]      0.01      0.00      0.01      0.01      0.02    367.05      1.00
   beta_1[180]      0.01      0.00      0.01      0.01      0.02    377.66      1.00
   beta_1[181]      0.01      0.00      0.01      0.01      0.02    365.28      1.00
   beta_1[182]      0.01      0.00      0.01      0.01      0.02    387.34      1.00
   beta_1[183]      0.01      0.00      0.01      0.01      0.02    383.65      1.00
   beta_1[184]      0.01      0.00      0.01      0.01      0.02    380.93      1.00
   beta_1[185]      0.01      0.00      0.01      0.01      0.02    373.52      1.00
   beta_1[186]      0.01      0.00      0.01      0.01      0.02    394.48      1.00
   beta_1[187]      0.01      0.00      0.01      0.01      0.02    405.86      1.00
   beta_1[188]      0.01      0.00      0.01      0.01      0.02    415.23      1.00
   beta_1[189]      0.01      0.00      0.01      0.01      0.02    404.66      1.00
   beta_1[190]      0.01      0.00      0.01      0.01      0.02    415.04      1.00
